time,open,high,low,close,volume
2023-04-10 18:55:00,8.4,8.4,8.39,8.39,2971
2023-04-10 19:00:00,8.39,8.39,8.39,8.39,150
2023-04-10 19:05:00,8.39,8.4,8.39,8.4,15150
2023-04-10 19:10:00,8.4,8.4,8.39,8.4,4905
2023-04-10 19:20:00,8.41,8.41,8.4,8.4,614
2023-04-10 19:30:00,8.4,8.44,8.39,8.41,13879
2023-04-10 19:35:00,8.4,8.43,8.4,8.43,1710
2023-04-10 19:40:00,8.42,8.42,8.42,8.42,16042
2023-04-10 19:45:00,8.42,8.42,8.4,8.4,1135
2023-04-10 19:50:00,8.42,8.42,8.37,8.37,10199
2023-04-10 19:55:00,8.38,8.38,8.36,8.37,13203
2023-04-10 20:00:00,8.37,8.38,8.365,8.37,15070
2023-04-11 04:05:00,8.4,8.4,8.38,8.38,1559
2023-04-11 04:10:00,8.41,8.41,8.38,8.38,3225
2023-04-11 04:15:00,8.38,8.4,8.38,8.4,1031
2023-04-11 04:20:00,8.42,8.42,8.42,8.42,598
2023-04-11 04:25:00,8.41,8.41,8.4,8.4,697
2023-04-11 04:30:00,8.41,8.41,8.39,8.39,510
2023-04-11 04:45:00,8.39,8.4,8.39,8.4,1049
2023-04-11 04:50:00,8.42,8.42,8.42,8.42,100
2023-04-11 04:55:00,8.42,8.42,8.42,8.42,1151
2023-04-11 05:00:00,8.42,8.43,8.42,8.42,2053
2023-04-11 05:05:00,8.42,8.42,8.4,8.4,1834
2023-04-11 05:15:00,8.43,8.44,8.43,8.44,1055
2023-04-11 05:20:00,8.45,8.45,8.4,8.4,3100
2023-04-11 05:25:00,8.4,8.4,8.4,8.4,2534
2023-04-11 05:30:00,8.41,8.41,8.41,8.41,200
2023-04-11 05:40:00,8.44,8.44,8.44,8.44,200
2023-04-11 05:55:00,8.43,8.43,8.43,8.43,386
2023-04-11 06:00:00,8.43,8.43,8.43,8.43,332
2023-04-11 06:10:00,8.44,8.44,8.44,8.44,300
2023-04-11 06:15:00,8.44,8.44,8.44,8.44,228
2023-04-11 06:20:00,8.44,8.44,8.44,8.44,200
2023-04-11 06:25:00,8.44,8.44,8.44,8.44,112
2023-04-11 06:30:00,8.44,8.45,8.44,8.45,1942
2023-04-11 06:35:00,8.43,8.43,8.41,8.41,1949
2023-04-11 06:45:00,8.41,8.44,8.41,8.44,1455
2023-04-11 06:50:00,8.41,8.41,8.4,8.4,1500
2023-04-11 06:55:00,8.41,8.41,8.4,8.4,2624
2023-04-11 07:00:00,8.42,8.42,8.42,8.42,400
2023-04-11 07:05:00,8.4,8.43,8.4,8.42,10834
2023-04-11 07:10:00,8.42,8.42,8.39,8.39,3872
2023-04-11 07:15:00,8.38,8.4,8.38,8.38,5179
2023-04-11 07:20:00,8.38,8.38,8.38,8.38,8702
2023-04-11 07:25:00,8.39,8.4,8.39,8.4,2281
2023-04-11 07:30:00,8.39,8.39,8.39,8.39,1445
2023-04-11 07:35:00,8.39,8.4,8.38,8.38,4587
2023-04-11 07:40:00,8.38,8.38,8.38,8.38,801
2023-04-11 07:45:00,8.39,8.39,8.38,8.38,6644
2023-04-11 07:50:00,8.37,8.37,8.37,8.37,1603
2023-04-11 07:55:00,8.37,8.37,8.35,8.35,1315
2023-04-11 08:00:00,8.36,8.38,8.36,8.37,1495
2023-04-11 08:05:00,8.38,8.4385,8.33,8.33,83157
2023-04-11 08:10:00,8.36,8.36,8.34,8.34,6134
2023-04-11 08:15:00,8.36,8.37,8.36,8.37,7094
2023-04-11 08:20:00,8.37,8.37,8.36,8.36,2545
2023-04-11 08:25:00,8.36,8.37,8.36,8.37,2028
2023-04-11 08:30:00,8.37,8.37,8.36,8.36,27706
2023-04-11 08:35:00,8.37,8.37,8.36,8.37,16056
2023-04-11 08:40:00,8.36,8.37,8.36,8.36,13075
2023-04-11 08:45:00,8.36,8.37,8.36,8.36,7937
2023-04-11 08:50:00,8.37,8.37,8.36,8.3699,20119
2023-04-11 08:55:00,8.36,8.37,8.36,8.3699,11501
2023-04-11 09:00:00,8.37,8.37,8.34,8.34,4789
2023-04-11 09:05:00,8.35,8.36,8.34,8.34,8379
2023-04-11 09:10:00,8.36,8.36,8.35,8.35,6728
2023-04-11 09:15:00,8.35,8.37,8.35,8.37,5839
2023-04-11 09:20:00,8.37,8.37,8.36,8.36,2924
2023-04-11 09:25:00,8.37,8.4,8.37,8.37,27815
2023-04-11 09:30:00,8.37,8.41,8.36,8.36,8400
2023-04-11 09:35:00,8.35,8.54,8.34,8.505,1527902
2023-04-11 09:40:00,8.505,8.59,8.5,8.59,1381622
2023-04-11 09:45:00,8.585,8.63,8.5,8.585,1662702
2023-04-11 09:50:00,8.585,8.7,8.58,8.66,1533679
2023-04-11 09:55:00,8.665,8.705,8.65,8.7,1008136
2023-04-11 10:00:00,8.695,8.78,8.6915,8.75,1658889
2023-04-11 10:05:00,8.755,8.79,8.72,8.73,954181
2023-04-11 10:10:00,8.725,8.74,8.67,8.69,849783
2023-04-11 10:15:00,8.6812,8.6992,8.6,8.615,574543
2023-04-11 10:20:00,8.612,8.62,8.51,8.5284,1065637
2023-04-11 10:25:00,8.53,8.55,8.5,8.5299,697668
2023-04-11 10:30:00,8.5299,8.54,8.51,8.535,578595
2023-04-11 10:35:00,8.5389,8.6,8.535,8.5795,666557
2023-04-11 10:40:00,8.57,8.58,8.54,8.57,359165
2023-04-11 10:45:00,8.565,8.61,8.54,8.545,548228
2023-04-11 10:50:00,8.545,8.545,8.48,8.51,700992
2023-04-11 10:55:00,8.51,8.52,8.5,8.505,320791
2023-04-11 11:00:00,8.505,8.505,8.45,8.4901,495578
2023-04-11 11:05:00,8.499,8.52,8.47,8.485,300543
2023-04-11 11:10:00,8.49,8.508,8.48,8.4901,374040
2023-04-11 11:15:00,8.495,8.5,8.46,8.495,282902
2023-04-11 11:20:00,8.495,8.54,8.495,8.535,400973
2023-04-11 11:25:00,8.54,8.55,8.53,8.5455,240366
